OTU	BLInv1	BLInv2	BLInv3	BLInv4	BLInv5	BLInv6	BLNat1	BLNat2	BLNat3	BLNat4	BLNat5	BLNat6	CBInv1	CBInv2	CBInv3	CBNat1	CBNat2	CBNat3	CHInv1	CHInv3	CHInv4	CHInv5	CHNat2	CHNat3	CHNat4	CHNat5	CMInv1	CMInv2	CMInv3	CMNat1	CMNat2	CMNat3	CRInv1	CRInv2	CRInv3	CRNat1	CRNat3	PLBInv1	PLBNat1	Rt2Inv1	Rt2Inv2	Rt2Inv3	Rt2Nat1	Rt2Nat2	Rt2Nat3	SBInv1	SBNat1	Size	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence	Ranking	Notes	Citation/Source
Otu128	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	23	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Psathyrella;s__Psathyrella_typhae;	Psathyrella	13	Saprotroph	Wood Saprotroph	Agaricoid	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu169	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Parasola;s__Parasola_sp;	Parasola	13	Saprotroph	Undefined Saprotroph	Agaricoid	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu179	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Pholiota;unclassified;	Pholiota	13	Saprotroph	Undefined Saprotroph	Agaricoid	White Rot	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu207	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Parasola;unclassified;	Parasola	13	Saprotroph	Undefined Saprotroph	Agaricoid	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Clitopilus;s__Clitopilus_passeckerianus;	Clitopilus	13	Saprotroph	Undefined Saprotroph	Agaricoid	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu180	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Scutellinia;s__Scutellinia_scutellata;	Scutellinia	13	Saprotroph	Undefined Saprotroph	Cup Fungus	NULL	Probable	Probable	Common name - eye lash cup	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu407	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Scutellinia;s__Scutellinia_subhirtella;	Scutellinia	13	Saprotroph	Undefined Saprotroph	Cup Fungus	NULL	Probable	Probable	Common name - eye lash cup	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu002	76	38	1	6	1	0	3	0	1	12	0	1	1	16	4	4	28	5	2	0	138	14	1	1	60	0	42	33	4	5	3	0	4	8	0	14	0	19	25	8	2	7	93	6	28	31	65	5038	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Microdochium;s__Microdochium_bolleyi;	Microdochium	13	Pathotroph	Plant Pathogen-Endophyte	Dark Septate Endophyte	NULL	Highly Probable	Highly Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688 (as plant pathogen); Mandyam et al. 2012. Mycorrhiza 22:109-119 (as DSE)."
Otu106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Microdochium;unclassified;	Microdochium	13	Pathotroph	Plant Pathogen-Endophyte	Dark Septate Endophyte	NULL	Highly Probable	Highly Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688 (as plant pathogen); Mandyam et al. 2012. Mycorrhiza 22:109-119 (as DSE)."
Otu006	0	26	0	0	9	1	1	0	0	2	0	5	1	1	4	2	0	4	5	0	1	1	21	16	0	8	11	0	46	18	10	11	0	5	38	0	0	7	1	3	8	0	0	35	14	0	26	2171	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora;s__Cadophora_luteo-olivacea;	Cadophora	13	Pathotroph-Symbiotroph	Undefined Endophyte	Dark Septate Endophyte	NULL	Highly Probable	Highly Probable	Known from plant roots.	"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; Newsham 2011. New Phytologist 190:783-793 (as DSE)"
Otu017	7	1	0	23	2	8	0	0	26	2	44	3	0	0	9	1	0	7	3	17	0	0	1	4	0	0	0	0	0	1	0	18	18	1	1	0	0	0	0	9	0	0	0	2	6	0	8	1079	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora;unclassified;	Cadophora	13	Pathotroph-Symbiotroph	Undefined Endophyte	Dark Septate Endophyte	NULL	Highly Probable	Highly Probable	Known from plant roots.	"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; Newsham 2011. New Phytologist 190:783-793 (as DSE)"
Otu043	2	0	0	3	1	0	0	0	5	1	1	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	170	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora;s__Cadophora_orchidicola;	Cadophora	13	Pathotroph-Symbiotroph	Undefined Endophyte	Dark Septate Endophyte	NULL	Highly Probable	Highly Probable	Known from plant roots.	"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; Newsham 2011. New Phytologist 190:783-793 (as DSE)"
Otu110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	38	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora;s__Cadophora_melinii;	Cadophora	13	Pathotroph-Symbiotroph	Undefined Endophyte	Dark Septate Endophyte	NULL	Highly Probable	Highly Probable	Known from plant roots.	"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; Newsham 2011. New Phytologist 190:783-793 (as DSE)"
Otu242	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phialophora;s__Phialophora_cyclaminis;	Phialophora	13	Symbiotroph	Undefined Endophyte	Dark Septate Endophyte	NULL	Probable	Probable	Known from plant roots.	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; http://mycorrhizas.info/ecmf.html"
Otu266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis;g__Tremella;unclassified;	Tremella	13	Pathotroph-Symbiotroph	Mycoparasite	Facultative Yeast	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	66	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_lacus;	Exophiala	13	Saprotroph	Undefined Saprotroph	Facultative Yeast	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688, Nagy GL, et al. 2014. Nature Communications 5:4471"
Otu085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	43	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_opportunistica;	Exophiala	13	Saprotroph	Undefined Saprotroph	Facultative Yeast	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688, Nagy GL, et al. 2014. Nature Communications 5:4471"
Otu150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;unclassified;	Exophiala	13	Saprotroph	Undefined Saprotroph	Facultative Yeast	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688, Nagy GL, et al. 2014. Nature Communications 5:4471"
