OTU	BLInv1	BLInv2	BLInv3	BLInv4	BLInv5	BLInv6	BLNat1	BLNat2	BLNat3	BLNat4	BLNat5	BLNat6	CBInv1	CBInv2	CBInv3	CBNat1	CBNat2	CBNat3	CHInv1	CHInv3	CHInv4	CHInv5	CHNat2	CHNat3	CHNat4	CHNat5	CMInv1	CMInv2	CMInv3	CMNat1	CMNat2	CMNat3	CRInv1	CRInv2	CRInv3	CRNat1	CRNat3	PLBInv1	PLBNat1	Rt2Inv1	Rt2Inv2	Rt2Inv3	Rt2Nat1	Rt2Nat2	Rt2Nat3	SBInv1	SBNat1	Size	Taxonomy
Otu001	0	7	0	4	5	2	16	0	0	9	1	2	132	111	35	99	86	25	26	0	0	8	18	57	0	72	6	89	5	81	19	0	11	7	3	0	20	51	0	12	7	160	48	11	5	12	2	6189	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella;s__Gibberella_tricincta;
Otu002	76	38	1	6	1	0	3	0	1	12	0	1	1	16	4	4	28	5	2	0	138	14	1	1	60	0	42	33	4	5	3	0	4	8	0	14	0	19	25	8	2	7	93	6	28	31	65	5038	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Microdochium;s__Microdochium_bolleyi;
Otu003	3	1	7	0	32	15	0	10	18	30	13	11	0	0	13	0	0	0	11	8	2	1	1	1	0	4	0	3	0	0	2	0	0	1	1	0	1	0	2	7	3	0	0	10	0	1	1	1532	k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu004	8	24	6	4	3	13	2	4	2	5	13	1	2	21	40	53	9	7	47	0	0	12	10	14	0	16	1	4	0	9	6	3	4	5	0	0	3	3	1	5	4	0	0	0	0	16	16	2614	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Tetracladium;unclassified;
Otu005	0	0	1	0	0	0	0	0	0	3	0	0	0	0	13	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	3	0	0	0	88	0	0	2551	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Stagonospora;s__Stagonospora_pseudopaludosa;
Otu006	0	26	0	0	9	1	1	0	0	2	0	5	1	1	4	2	0	4	5	0	1	1	21	16	0	8	11	0	46	18	10	11	0	5	38	0	0	7	1	3	8	0	0	35	14	0	26	2171	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora;s__Cadophora_luteo-olivacea;
Otu007	1	7	3	2	15	8	4	7	0	3	1	0	0	1	0	0	0	1	0	0	2	2	40	13	0	8	20	7	54	24	5	41	3	6	69	20	1	7	4	2	25	0	0	1	1	14	1	2144	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;unclassified;unclassified;unclassified;
Otu008	1	0	1	0	0	1	0	1	0	28	0	1	1	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	798	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;
Otu009	11	2	22	47	2	66	0	3	8	3	4	2	0	0	9	0	0	74	7	12	0	5	0	6	0	0	0	0	0	0	0	26	38	10	0	1	2	1	0	7	6	1	1	0	3	2	3	1783	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Tetracladium;s__Tetracladium_maxilliforme;
Otu010	0	0	0	2	0	0	0	0	0	2	1	0	0	0	2	0	0	1	2	8	0	0	0	0	10	0	0	0	0	0	1	0	5	4	0	1	60	0	5	0	1	0	0	0	0	2	0	1002	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Ilyonectria;s__Ilyonectria_robusta;
