OTU	Size	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Confidence2	Notes	Citation/Source
Otu001	6189	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella;s__Gibberella_tricincta;	Gibberella	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu002	5038	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Microdochium;s__Microdochium_bolleyi;	Microdochium	13	Pathotroph	Plant Pathogen-Endophyte	Dark Septate Endophyte	NULL	Highly Probable	Highly Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688 (as plant pathogen); Mandyam et al. 2012. Mycorrhiza 22:109-119 (as DSE)."
Otu004	2614	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Tetracladium;unclassified;	Tetracladium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu005	2551	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Stagonospora;s__Stagonospora_pseudopaludosa;	Stagonospora	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu006	2171	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora;s__Cadophora_luteo-olivacea;	Cadophora	13	Pathotroph-Symbiotroph	Undefined Endophyte	Dark Septate Endophyte	NULL	Highly Probable	Highly Probable	Known from plant roots.	"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; Newsham 2011. New Phytologist 190:783-793 (as DSE)"
Otu007	2144	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;unclassified;unclassified;unclassified;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu011	2009	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Ilyonectria;unclassified;	Ilyonectria	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu009	1783	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Tetracladium;s__Tetracladium_maxilliforme;	Tetracladium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu003	1532	k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu013	1433	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Stagonospora;s__Stagonospora_pseudovitensis;	Stagonospora	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu012	1308	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Tetracladium;s__Tetracladium_marchalianum;	Tetracladium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
Otu018	1267	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;unclassified;unclassified;	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unassigned	NULL	
Otu015	1244	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_langsethiae;	Fusarium	13	Pathotroph-Saprotroph	Plant Pathogen-Soil Saprotroph-Wood Saprotroph	NULL	Soft Rot	Probable	Probable	NULL	"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:1256688; Schroers et al. 2016. Mycologia 108:806-819."
Otu016	1093	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Ilyonectria;s__Ilyonectria_macrodidyma;	Ilyonectria	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
