Code,Site,Lineage,Rep,Sample_date,Sat_lev,Lat,15SoilP,15SoilN,15SoilC,15TisN,15TisC,15TisP
BLInv1,BL,Inv,1,150805,UN,South,86.8400204,1.3754,18.2615,1.2011,16.5895,0.124953333
BLInv2,BL,Inv,2,150805,UN,South,8.3162324,2.72965,38.8035,NULL,NULL,NULL
BLInv3,BL,Inv,3,150805,UN,South,3.0242002,2.40045,34.8945,3.11685,42.975,0.160548612
BLInv4,BL,Inv,4,150805,UN,South,NULL,NULL,NULL,2.0915,43.788,0.160982536
BLInv5,BL,Inv,5,150805,UN,South,NULL,NULL,NULL,2.5123,43.549,0.20039
BLInv6,BL,Inv,6,150805,UN,South,NULL,NULL,NULL,1.6151,43.06,0.185721388
BLNat1,BL,Nat,1,150805,SAT,South,0.3712044,1.67745,29.947,1.8388,43.739,0.06987064
BLNat2,BL,Nat,2,150805,SAT,South,0.62618535,1.3503,25.5465,2.9221,43.902,0.161606888
BLNat3,BL,Nat,3,150805,SAT,South,1.859396,1.0319,22.7545,2.60115,41.6295,0.142905025
BLNat4,BL,Nat,4,150805,SAT,South,NULL,NULL,NULL,2.65,42.722,0.172780274
BLNat5,BL,Nat,5,150805,SAT,South,NULL,NULL,NULL,3.2407,43.6695,0.182924225
BLNat6,BL,Nat,6,150805,SAT,South,NULL,NULL,NULL,0.777385,12.4105,0.050556581
CBInv1,CB,Inv,1,150819,SAT_HI,North,1.056475,0.00587,0.878635,2.097,42.2035,0.098125108
CBInv2,CB,Inv,2,150819,SAT_HI,North,0.6972735,-0.00269,1.3218,1.8441,41.9095,0.097283413
CBInv3,CB,Inv,3,150819,SAT_HI,North,0.929698,0.00141,1.19881,2.0788,41.028,0.107503878
CBNat1,CB,Nat,1,150819,SAT_HI,North,4.354448,0.43893,7.8456,1.6627,44.0045,0.094720435
CBNat2,CB,Nat,2,150819,SAT_HI,North,1.056475,0.06562,2.0125,2.5624,42.387,0.15283322
CBNat3,CB,Nat,3,150819,SAT_HI,North,1.479065,0.846855,16.5435,1.78905,42.778,NULL
CHInv1,CH,Inv,1,150825,UN,South,0.9508275,0.07899,2.86725,0.877345,15.354,0.033542197
CHInv2,CH,Inv,2,150825,UN,South,NULL,NULL,NULL,2.6547,43.6395,0.13379519
CHInv3,CH,Inv,3,150825,UN,South,0.777966,0.168445,5.50975,2.0073,43.6515,0.134192864
CHInv4,CH,Inv,4,150825,UN,South,NULL,NULL,NULL,1.62855,44.022,0.141848465
CHInv5,CH,Inv,5,150825,UN,South,0.7817915,2.1295,32.7005,1.7684,43.0895,0.150220136
CHInv6,CH,Inv,6,150825,UN,South,NULL,NULL,NULL,1.40365,41.79,0.134689412
CHNat1,CH,Nat,1,150825,SAT,South,NULL,NULL,NULL,2.9726,44.6785,0.171131353
CHNat2,CH,Nat,2,150825,SAT,South,5.642875,0.7793,13.7305,3.54255,44.9105,0.239381244
CHNat3,CH,Nat,3,150825,SAT,South,0.338072,0.30454,7.3582,3.04335,43.9815,0.106473846
CHNat4,CH,Nat,4,150825,UN,South,3.467009,0.11936,3.6627,3.26455,44.2415,0.201609153
CHNat5,CH,Nat,5,150825,UN,South,NULL,NULL,NULL,2.1794,44.4085,0.156304806
