Code,Site,Lineage,Rep,Sat_lev,Lat,16SoilP,16SoilN,16SoilC,16TisN,16TisC,16TisP
BCInv1,BC,Inv,1,,Mid,5.146302,0.52594,9.2751,0.626335,45.314,0.040545905
BCInv2,BC,Inv,2,,Mid,5.1237305,0.312955,5.47695,1.60315,45.921,0.132538311
BCInv3,BC,Inv,3,,Mid,3.5888685,0.29184,5.24815,0.473195,45.61,0.035806203
BCNat1,BC,Nat,1,,Mid,5.3043025,0.209375,3.6464,0.587205,46.4155,0.050116859
BCNat2,BC,Nat,2,,Mid,8.3740265,0.38857,5.87525,1.005995,46.972,0.07066961
BCNat3,BC,Nat,3,,Mid,5.86859,1.33555,21.0035,0.41191,46.201,0.02673049
BLInv1,BL,Inv,1,,South,NULL,NULL,NULL,NULL,NULL,NULL
BLInv2,BL,Inv,2,,South,NULL,NULL,NULL,NULL,NULL,NULL
BLInv3,BL,Inv,3,,South,NULL,NULL,NULL,NULL,NULL,NULL
BLInv4,BL,Inv,4,,South,NULL,NULL,NULL,NULL,NULL,NULL
BLInv5,BL,Inv,5,,South,NULL,NULL,NULL,NULL,NULL,NULL
BLInv6,BL,Inv,6,,South,NULL,NULL,NULL,NULL,NULL,NULL
BLNat1,BL,Nat,1,,South,NULL,NULL,NULL,NULL,NULL,NULL
BLNat2,BL,Nat,2,,South,NULL,NULL,NULL,NULL,NULL,NULL
BLNat3,BL,Nat,3,,South,NULL,NULL,NULL,NULL,NULL,NULL
BLNat4,BL,Nat,4,,South,NULL,NULL,NULL,NULL,NULL,NULL
BLNat5,BL,Nat,5,,South,NULL,NULL,NULL,NULL,NULL,NULL
BLNat6,BL,Nat,6,,South,NULL,NULL,NULL,NULL,NULL,NULL
CBInv1,CB,Inv,1,,North,0,-0.009195,1.6931,0.868295,46.0305,0.040079
CBInv2,CB,Inv,2,,North,0.58848895,0.01378,1.2525,0.805565,46.177,0.050460159
CBInv3,CB,Inv,3,,North,0.4441668,-0.005245,0.99972,0.63207,46.5385,0.026803812
CBNat1,CB,Nat,1,,North,1.1927664,0.019385,1.02609,0.944235,46.725,0.030289686
CBNat2,CB,Nat,2,,North,0,0.418235,6.672,0.73747,46.594,0.044254596
CBNat3,CB,Nat,3,,North,0.5264847,-0.005495,1.03445,0.408665,46.4015,0.019702264
CHInv1,CH,Inv,1,,South,4.243442,0.689665,11.2415,0.627895,45.1195,0.035891165
CHInv2,CH,Inv,2,,South,6.839098,0.34767,9.9606,1.27715,45.192,0.149605605
CHInv3,CH,Inv,3,,South,NULL,NULL,NULL,NULL,NULL,NULL
CHInv4,CH,Inv,4,,South,NULL,NULL,NULL,NULL,NULL,NULL
CHInv5,CH,Inv,5,,South,NULL,NULL,NULL,NULL,NULL,NULL
CHInv6,CH,Inv,6,,South,NULL,NULL,NULL,NULL,NULL,NULL
CHNat1,CH,Nat,1,,South,3.972584,1.99115,32.242,1.58155,44.5505,0.04878586
CHNat2,CH,Nat,2,,South,6.997165,0.56426,14.701,0.91208,45.04,0.044314109
CHNat3,CH,Nat,3,,South,0.303023,0.32418,8.24735,1.30715,44.654,0.095887981
CHNat4,CH,Nat,4,,South,NULL,NULL,NULL,NULL,NULL,NULL
CHNat5,CH,Nat,5,,South,NULL,NULL,NULL,NULL,NULL,NULL
CHNat6,CH,Nat,6,,South,NULL,NULL,NULL,NULL,NULL,NULL
CMInv1,CM,Inv,1,,North,0,0.421505,8.7383,0.921995,45.791,0.104567093
CMInv2,CM,Inv,2,,North,1.8811954,-0.000355,0.88227,0.76214,43.6205,0.041973417
CMInv3,CM,Inv,3,,North,2.9289498,0.01021,1.3167,0.607135,43.3035,0.109551055
CMNat1,CM,Nat,1,,North,5.0785875,0.728605,14.529,1.3982,46.895,0.068343257
CMNat2,CM,Nat,2,,North,4.288585,0.45071,8.1314,0.447795,46.9665,0.030125041
CMNat3,CM,Nat,3,,North,4.694872,0.46585,8.78075,0.39807,47.1785,0.028149911
CRInv1,CR,Inv,1,,North,2.7622616,0.049215,1.59245,1.0154,44.192,0.055613416
CRInv2,CR,Inv,2,,North,10.4054615,0.576015,16.1095,1.14145,44.654,0.082425569
CRInv3,CR,Inv,3,,North,NULL,2.3469,41.637,1.50085,44.373,0.060781194
CRNat1,CR,Nat,1,,North,NULL,1.57565,25.031,0.37982,45.5155,0.013260485
CRNat2,CR,Nat,2,,North,1.3811308,0.81458,14.579,0.72248,44.776,0.035547062
CRNat3,CR,Nat,3,,North,2.619386,0.04494,1.9323,0.83899,44.924,0.039981947
JCNat1,JC,Nat,1,,South,2.9697255,3.1649,41.5395,1.09815,46.9125,0.043961854
JCNat2,JC,Nat,2,,South,2.6753545,2.33745,31.1455,1.2588,46.1835,0.080435404
JCNat3,JC,Nat,3,,South,4.9061936,2.76935,37.508,1.13495,46.583,0.04508532
