,BLInv1,BLInv2,BLInv3,BLInv4,BLInv5,BLInv6,BLNat1,BLNat2,BLNat3,BLNat4,BLNat5,BLNat6,CBInv1,CBInv2,CBInv3,CBNat1,CBNat2,CBNat3,CHInv1,CHInv3,CHInv4,CHInv5,CHNat1,CHNat2,CHNat3,CHNat4,CHNat5,CMInv1,CMInv2,CMInv3,CMNat1,CMNat2,CMNat3,CRInv1,CRInv2,CRInv3,CRNat1,CRNat2,CRNat3,PLBInv1,PLBNat1,Rt2Inv1,Rt2Inv2,Rt2Inv3,Rt2Nat1,Rt2Nat2,Rt2Nat3,SBInv1,SBNat1
BLInv1,0,0.485091,0.422251,0.419346,0.446023,0.472669,0.83082,0.534282,0.441391,0.498321,0.50736,0.797876,0.614499,0.63488,0.531126,0.70699,0.543839,0.481857,0.502023,0.615867,0.559623,0.587182,0.538335,0.471609,0.565087,0.415623,0.573696,0.591679,0.567369,0.658375,0.553242,0.534824,0.716275,0.714085,0.601265,0.82824,0.586424,0.740313,0.648776,0.551555,0.630178,0.758928,0.771298,0.537816,0.8604,0.802209,0.64377,0.622499,0.692576
BLInv2,0.485091,0,0.381203,0.423251,0.305646,0.334348,0.851764,0.620174,0.369408,0.448839,0.451988,0.812354,0.646876,0.717149,0.662526,0.777072,0.524234,0.467414,0.466046,0.599536,0.555269,0.621489,0.621634,0.435393,0.504021,0.349046,0.539337,0.568615,0.609288,0.734683,0.634919,0.569493,0.775313,0.794298,0.641174,0.864979,0.513781,0.809108,0.67595,0.594977,0.702816,0.65782,0.734634,0.486532,0.875505,0.839629,0.642762,0.75634,0.817795
BLInv3,0.422251,0.381203,0,0.44413,0.351217,0.368957,0.800621,0.573743,0.316534,0.381654,0.389114,0.760836,0.651646,0.717416,0.648865,0.752793,0.479843,0.455872,0.512677,0.668923,0.589923,0.594491,0.562638,0.488923,0.519188,0.39376,0.618433,0.606308,0.620176,0.735025,0.59836,0.563095,0.759638,0.783176,0.675803,0.850393,0.576424,0.7843,0.708584,0.603284,0.690532,0.748095,0.775474,0.480435,0.850192,0.824184,0.662267,0.760967,0.793275
BLInv4,0.419346,0.423251,0.44413,0,0.356422,0.405358,0.853431,0.50764,0.456617,0.490631,0.493371,0.826172,0.621431,0.65177,0.523476,0.67188,0.53736,0.477054,0.445845,0.534319,0.479671,0.56953,0.586329,0.438124,0.55313,0.321133,0.444772,0.510101,0.477391,0.619605,0.553253,0.499824,0.741694,0.716685,0.599886,0.828286,0.54095,0.721526,0.673072,0.486526,0.64019,0.717275,0.754747,0.525215,0.86435,0.800925,0.616892,0.583385,0.714302
BLInv5,0.446023,0.305646,0.351217,0.356422,0,0.255509,0.828429,0.588482,0.314561,0.360971,0.376925,0.793375,0.623164,0.702623,0.629257,0.76195,0.489611,0.451706,0.442586,0.554592,0.515983,0.579313,0.58571,0.43017,0.49366,0.345157,0.554315,0.57254,0.57818,0.706484,0.608379,0.561592,0.773731,0.767963,0.611035,0.852021,0.560942,0.77275,0.679677,0.58218,0.698429,0.67053,0.76048,0.514671,0.867371,0.827362,0.639565,0.68846,0.771952
BLInv6,0.472669,0.334348,0.368957,0.405358,0.255509,0,0.8486,0.566638,0.373805,0.387242,0.402983,0.815706,0.593462,0.658497,0.610277,0.749801,0.498106,0.441217,0.460826,0.591725,0.586996,0.619658,0.616692,0.420139,0.490998,0.375756,0.529809,0.547985,0.593377,0.680151,0.620841,0.56354,0.749161,0.725542,0.60293,0.797565,0.549422,0.750364,0.645478,0.565925,0.684133,0.673838,0.732623,0.506193,0.859369,0.805911,0.65847,0.716828,0.755447
BLNat1,0.83082,0.851764,0.800621,0.853431,0.828429,0.8486,0,0.806783,0.820919,0.706104,0.611153,0.369296,0.819687,0.826195,0.847733,0.853747,0.837284,0.827474,0.825658,0.848207,0.833925,0.764754,0.693304,0.822242,0.766909,0.802108,0.846045,0.834627,0.856397,0.845921,0.848031,0.87094,0.871346,0.841718,0.838911,0.921402,0.849008,0.85766,0.817596,0.85305,0.851538,0.850979,0.84053,0.857977,0.871747,0.852741,0.852563,0.846474,0.862963
BLNat2,0.534282,0.620174,0.573743,0.50764,0.588482,0.566638,0.806783,0,0.578462,0.657389,0.662122,0.778205,0.611362,0.572075,0.502377,0.637197,0.694203,0.594957,0.523528,0.5693,0.484731,0.52482,0.516253,0.546631,0.559545,0.519946,0.514164,0.501184,0.528743,0.550292,0.605188,0.547079,0.688598,0.663226,0.599491,0.737182,0.618524,0.639776,0.602986,0.553017,0.572472,0.68176,0.74023,0.708447,0.821255,0.773122,0.649116,0.57854,0.625329
BLNat3,0.441391,0.369408,0.316534,0.456617,0.314561,0.373805,0.820919,0.578462,0,0.354219,0.404271,0.776215,0.674596,0.742046,0.633934,0.73464,0.470232,0.477615,0.532747,0.687447,0.549313,0.531201,0.591942,0.486155,0.519099,0.403327,0.620191,0.619333,0.595584,0.733294,0.589429,0.541195,0.764557,0.788621,0.693244,0.826513,0.627147,0.755857,0.746669,0.574853,0.690389,0.728435,0.807588,0.518865,0.884555,0.821304,0.675828,0.76566,0.777822
BLNat4,0.498321,0.448839,0.381654,0.490631,0.360971,0.387242,0.706104,0.657389,0.354219,0,0.242383,0.657739,0.675426,0.760021,0.65936,0.75182,0.467497,0.488381,0.58429,0.720832,0.637669,0.547627,0.585046,0.518857,0.554213,0.433441,0.645106,0.654251,0.64566,0.75123,0.592273,0.58783,0.79106,0.798224,0.711294,0.847534,0.642325,0.800178,0.747333,0.585244,0.713435,0.797534,0.815758,0.532969,0.879946,0.842513,0.681795,0.771106,0.797876
