# Constructed from biom file
#OTU ID	BLInv1	BLInv2	BLInv3	BLInv4	BLInv5	BLInv6	BLNat1	BLNat2	BLNat3	BLNat4	BLNat5	BLNat6	CBInv1	CBInv2	CBInv3	CBNat1	CBNat2	CBNat3	CHInv1	CHInv3	CHInv4	CHInv5	CHNat1	CHNat2	CHNat3	CHNat4	CHNat5	CMInv1	CMInv2	CMInv3	CMNat1	CMNat2	CMNat3	CRInv1	CRInv2	CRInv3	CRNat1	CRNat2	CRNat3	PLBInv1	PLBNat1	Rt2Inv1	Rt2Inv2	Rt2Inv3	Rt2Nat1	Rt2Nat2	Rt2Nat3	SBInv1	SBNat1	KEGG_Pathways
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	11835.0	14454.0	15357.0	12254.0	17637.0	17356.0	1892.0	5482.0	14527.0	16943.0	15080.0	4643.0	6370.0	3676.0	7012.0	3263.0	14598.0	13003.0	9205.0	4370.0	7339.0	7959.0	4784.0	11067.0	7957.0	13420.0	7136.0	7405.0	7351.0	3125.0	9625.0	8792.0	4514.0	2776.0	6733.0	7.0	7967.0	2229.0	4437.0	8653.0	4928.0	1604.0	2635.0	14038.0	562.0	2574.0	5610.0	3619.0	2302.0	Metabolism; Xenobiotics Biodegradation and Metabolism; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
ABC transporters	9607005.0	11735058.0	12462456.0	9940867.0	14314590.0	14090470.0	1524910.0	4448230.0	11791114.0	13751921.0	12236841.0	3767950.0	5178346.0	2994500.0	5682657.0	2658830.0	11851482.0	10561522.0	7473909.0	3551935.0	5971541.0	6466325.0	3884341.0	8988715.0	6464713.0	10893904.0	5794246.0	6020211.0	5964458.0	2543859.0	7812636.0	7143708.0	3666508.0	2262355.0	5461761.0	19449.0	6467268.0	1814961.0	3609859.0	7028603.0	4004946.0	1309822.0	2151383.0	11399602.0	468003.0	2097956.0	4561944.0	2937471.0	1874524.0	Environmental Information Processing; Membrane Transport; ABC transporters
Adherens junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cellular Processes; Cell Communication; Adherens junction
Adipocytokine signaling pathway	202105.0	246837.0	262137.0	209100.0	301067.0	296333.0	31987.0	93576.0	248018.0	289189.0	257318.0	79156.0	108833.0	62933.0	119590.0	55785.0	249155.0	222066.0	157148.0	74676.0	125440.0	135985.0	81668.0	188987.0	135892.0	229086.0	121823.0	126608.0	125466.0	53470.0	164349.0	150281.0	77128.0	47490.0	114805.0	260.0	135993.0	38065.0	75836.0	147812.0	84132.0	27512.0	45193.0	239689.0	9856.0	43964.0	95837.0	61847.0	39393.0	Organismal Systems; Endocrine System; Adipocytokine signaling pathway
African trypanosomiasis	60182.0	73542.0	78070.0	62300.0	89692.0	88289.0	9544.0	27877.0	73894.0	86143.0	76652.0	23575.0	32453.0	18743.0	35600.0	16632.0	74230.0	66147.0	46853.0	22289.0	37401.0	40539.0	24342.0	56341.0	40528.0	68269.0	36320.0	37718.0	37372.0	15946.0	48916.0	44771.0	22967.0	14186.0	34207.0	118.0	40518.0	11386.0	22612.0	44026.0	25117.0	8245.0	13469.0	71417.0	2932.0	13123.0	28560.0	18390.0	11722.0	Human Diseases; Infectious Diseases; African trypanosomiasis
Alanine, aspartate and glutamate metabolism	2192850.0	2678791.0	2844963.0	2269085.0	3267521.0	3216369.0	347622.0	1015127.0	2691690.0	3138919.0	2793101.0	859659.0	1181559.0	682683.0	1296877.0	605691.0	2704694.0	2410183.0	1705757.0	810212.0	1361806.0	1475724.0	886419.0	2051492.0	1475283.0	2486569.0	1322032.0	1373826.0	1361079.0	580042.0	1783031.0	1630189.0	836837.0	516050.0	1246115.0	3697.0	1476096.0	413678.0	823311.0	1603897.0	913713.0	298310.0	490225.0	2602034.0	106612.0	477848.0	1040586.0	669848.0	427055.0	Metabolism; Amino Acid Metabolism; Alanine, aspartate and glutamate metabolism
Aldosterone-regulated sodium reabsorption	86.0	104.0	111.0	88.0	128.0	126.0	14.0	40.0	105.0	122.0	109.0	34.0	46.0	26.0	50.0	24.0	106.0	94.0	66.0	32.0	53.0	58.0	34.0	80.0	58.0	97.0	52.0	54.0	53.0	22.0	70.0	64.0	32.0	20.0	48.0	0.0	58.0	16.0	32.0	62.0	36.0	12.0	19.0	102.0	4.0	18.0	40.0	26.0	16.0	Organismal Systems; Excretory System; Aldosterone-regulated sodium reabsorption
Alzheimer's disease	277768.0	339311.0	360352.0	287486.0	413875.0	407399.0	44038.0	128668.0	340925.0	397531.0	353758.0	108861.0	149687.0	86597.0	164373.0	76842.0	342611.0	305365.0	216097.0	102734.0	172483.0	186895.0	112314.0	259885.0	186903.0	314985.0	167488.0	174123.0	172483.0	73576.0	225865.0	206443.0	106129.0	65462.0	157918.0	509.0	187065.0	52480.0	104344.0	203229.0	115795.0	37867.0	62117.0	329616.0	13632.0	60585.0	131786.0	84901.0	54226.0	Human Diseases; Neurodegenerative Diseases; Alzheimer's disease
Amino acid metabolism	592670.0	723985.0	768858.0	613253.0	883112.0	869285.0	93907.0	274309.0	727483.0	848379.0	754864.0	232321.0	319260.0	184466.0	350482.0	163619.0	730967.0	651366.0	460962.0	218935.0	368308.0	398796.0	239467.0	554410.0	398636.0	672005.0	357245.0	371240.0	367847.0	156683.0	481851.0	440529.0	226080.0	139383.0	336780.0	974.0	398910.0	111737.0	222508.0	433455.0	246952.0	80556.0	132476.0	703213.0	28693.0	129004.0	281218.0	181023.0	115337.0	Unclassified; Metabolism; Amino acid metabolism
Amino acid related enzymes	3017308.0	3686028.0	3914761.0	3122527.0	4496163.0	4425804.0	478881.0	1396734.0	3703731.0	4319508.0	3843643.0	1183650.0	1625701.0	939211.0	1784520.0	833184.0	3721609.0	3316372.0	2347067.0	1114894.0	1873655.0	2030497.0	1219730.0	2822800.0	2029983.0	3421576.0	1819018.0	1890306.0	1872782.0	797954.0	2453407.0	2242882.0	1151485.0	709891.0	1714517.0	4943.0	2031089.0	569012.0	1132753.0	2206965.0	1257122.0	410283.0	674516.0	3580519.0	146624.0	657319.0	1431880.0	921609.0	587454.0	Metabolism; Amino Acid Metabolism; Amino acid related enzymes
Amino sugar and nucleotide sugar metabolism	2445420.0	2987680.0	3172953.0	2530598.0	3644360.0	3587351.0	389086.0	1131763.0	3002069.0	3501837.0	3115993.0	960306.0	1317973.0	761045.0	1446022.0	675151.0	3016632.0	2688063.0	1902391.0	903332.0	1519016.0	1646076.0	988647.0	2288028.0	1645507.0	2773372.0	1474258.0	1531986.0	1517684.0	646520.0	1988429.0	1818031.0	933314.0	575457.0	1389654.0	4139.0	1646451.0	461303.0	918340.0	1788738.0	1019416.0	332406.0	546765.0	2902150.0	118802.0	533028.0	1160696.0	746836.0	475805.0	Metabolism; Carbohydrate Metabolism; Amino sugar and nucleotide sugar metabolism
Aminoacyl-tRNA biosynthesis	2249347.0	2747840.0	2918536.0	2327820.0	3351928.0	3299519.0	357320.0	1041085.0	2761084.0	3220536.0	2865706.0	882991.0	1211814.0	700007.0	1330243.0	620901.0	2774634.0	2472456.0	1749464.0	830844.0	1396567.0	1513590.0	909131.0	2104205.0	1513133.0	2550701.0	1355821.0	1409020.0	1396033.0	594579.0	1829042.0	1671998.0	858371.0	529022.0	1278091.0	3335.0	1514053.0	423907.0	844193.0	1645194.0	936907.0	305373.0	502500.0	2669438.0	109191.0	489844.0	1067113.0	686976.0	437842.0	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis
Aminobenzoate degradation	1150991.0	1405764.0	1492964.0	1191102.0	1714769.0	1687853.0	182219.0	532974.0	1412355.0	1647140.0	1465613.0	451159.0	620129.0	358566.0	681294.0	318198.0	1419514.0	1265055.0	895181.0	425541.0	714726.0	774312.0	465101.0	1076651.0	774118.0	1304896.0	694079.0	721214.0	714802.0	304763.0	936073.0	855808.0	439568.0	270833.0	654317.0	1757.0	774783.0	217169.0	432221.0	841976.0	479629.0	156846.0	257459.0	1365504.0	56419.0	250824.0	546006.0	352263.0	224753.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Aminobenzoate degradation
Amoebiasis	49189.0	60094.0	63821.0	50896.0	73298.0	72153.0	7767.0	22764.0	60383.0	70408.0	62652.0	19260.0	26491.0	15310.0	29089.0	13579.0	60689.0	54070.0	38239.0	18146.0	30520.0	33095.0	19866.0	45994.0	33067.0	55768.0	29637.0	30810.0	30528.0	12991.0	40001.0	36581.0	18781.0	11553.0	27954.0	56.0	33121.0	9267.0	18469.0	35970.0	20492.0	6662.0	10959.0	58372.0	2383.0	10707.0	23325.0	15019.0	9576.0	Human Diseases; Infectious Diseases; Amoebiasis
Amyotrophic lateral sclerosis (ALS)	144830.0	176985.0	187922.0	149955.0	215871.0	212493.0	22902.0	67082.0	177780.0	207323.0	184496.0	56760.0	78107.0	45179.0	85734.0	40118.0	178692.0	159271.0	112755.0	53624.0	90019.0	97489.0	58580.0	135598.0	97522.0	164313.0	87421.0	90827.0	89952.0	38398.0	117785.0	107676.0	55330.0	34183.0	82384.0	331.0	97615.0	27416.0	54468.0	106012.0	60448.0	19810.0	32436.0	171909.0	7123.0	31665.0	68794.0	44299.0	28299.0	Human Diseases; Neurodegenerative Diseases; Amyotrophic lateral sclerosis (ALS)
Antigen processing and presentation	57720.0	70515.0	74889.0	59737.0	86006.0	84658.0	9146.0	26718.0	70851.0	82615.0	73516.0	22620.0	31093.0	17952.0	34132.0	15924.0	71169.0	63422.0	44899.0	21333.0	35826.0	38844.0	23338.0	53996.0	38834.0	65453.0	34803.0	36157.0	35820.0	15256.0	46930.0	42909.0	22007.0	13567.0	32789.0	93.0	38840.0	10877.0	21666.0	42209.0	24031.0	7850.0	12893.0	68475.0	2792.0	12570.0	27391.0	17627.0	11217.0	Organismal Systems; Immune System; Antigen processing and presentation
Apoptosis	59782.0	73009.0	77542.0	61872.0	89058.0	87662.0	9459.0	27701.0	73351.0	85535.0	76114.0	23417.0	32226.0	18656.0	35413.0	16576.0	73759.0	65740.0	46487.0	22108.0	37132.0	40206.0	24154.0	55919.0	40203.0	67773.0	36044.0	37500.0	37148.0	15864.0	48641.0	44450.0	22906.0	14114.0	34025.0	106.0	40281.0	11306.0	22463.0	43751.0	24963.0	8152.0	13384.0	70941.0	2991.0	13095.0	28368.0	18303.0	11738.0	Cellular Processes; Cell Growth and Death; Apoptosis
