FUN,BLInv1,BLInv2,BLInv3,BLInv4,BLInv5,BLInv6,BLNat1,BLNat2,BLNat3,BLNat4,BLNat5,BLNat6,CBInv1,CBInv2,CBInv3,CBNat1,CBNat2,CBNat3,CHInv1,CHInv3,CHInv4,CHInv5,CHNat1,CHNat2,CHNat3,CHNat4,CHNat5,CMInv1,CMInv2,CMInv3,CMNat1,CMNat2,CMNat3,CRInv1,CRInv2,CRInv3,CRNat1,CRNat2,CRNat3,PLBInv1,PLBNat1,Rt2Inv1,Rt2Inv2,Rt2Inv3,Rt2Nat1,Rt2Nat2,Rt2Nat3,SBInv1,SBNat1
1,59782,73009,77542,61872,89058,87662,9459,27701,73351,85535,76114,23417,32226,18656,35413,16576,73759,65740,46487,22108,37132,40206,24154,55919,40203,67773,36044,37500,37148,15864,48641,44450,22906,14114,34025,106,40281,11306,22463,43751,24963,8152,13384,70941,2991,13095,28368,18303,11738
2,1159540,1416600,1504534,1200065,1727997,1700968,183986,536899,1423424,1660101,1477219,454923,624972,361374,685995,320579,1430781,1275044,901924,428407,720074,780258,468649,1084807,780055,1314950,698946,726672,719919,306829,943034,861995,443129,273297,659275,2031,780918,218971,435499,848406,483567,157611,259221,1376575,56833,253075,550260,354380,226304
3,124263,151820,161244,128577,185201,182312,19625,57528,152558,177906,158290,48662,66926,38741,73464,34361,153404,136671,96614,45850,77174,83579,50160,116220,83530,140907,74863,77834,77122,32813,101036,92365,47453,29376,70735,167,83717,23466,46664,90908,51792,16817,27715,147560,5986,27095,58951,37975,24254
4,56228,68700,72969,58221,83814,82506,8883,26045,69016,80510,71643,22026,30329,17545,33298,15586,69431,61883,43744,20786,34934,37822,22715,52623,37829,63784,33909,35266,34936,14902,45754,41807,21546,13287,32024,98,37929,10639,21142,41171,23493,7642,12577,66784,2797,12321,26692,17204,11025
5,1755004,2143484,2276057,1815583,2614330,2573085,278798,813096,2154111,2510856,2234490,687470,945586,547524,1038437,485822,2163493,1928495,1365574,649488,1089795,1181443,710283,1642061,1181308,1989804,1058364,1100027,1089705,465378,1426728,1304053,669932,413643,997283,4148,1181183,332198,659164,1283682,731307,240341,393151,2081382,86119,383196,833036,536627,342706
6,4400872,5374898,5707075,4553067,6555466,6451979,698392,2038769,5401275,6295731,5602621,1723694,2370554,1372292,2604541,1217222,5424118,4834877,3424266,1628908,2732748,2962312,1780815,4117446,2961996,4989365,2654231,2758201,2732828,1166845,3577387,3269820,1679130,1036550,2500201,9525,2961161,832186,1652265,3218559,1832675,602941,985815,5218986,215404,958912,2088601,1345820,858658
7,521975,637614,677171,540145,777755,765552,82888,241682,640699,747154,664859,204772,281178,162605,308798,144225,643797,573717,405971,192856,324063,351244,211003,488258,351119,591849,314646,327034,324055,138099,424470,387970,199266,122893,296664,868,351382,98486,195948,381817,217443,71010,116657,619384,25442,113764,247650,159546,101760
8,1667057,2036038,2161798,1724497,2483135,2443938,264753,772294,2046311,2384977,2122268,652890,897847,519841,986546,460836,2054849,1831581,1296809,616633,1035068,1122095,674422,1559346,1121714,1889765,1005032,1044757,1035182,441803,1355074,1238612,636248,392618,947008,3674,1121818,315307,625920,1219121,694257,228190,373346,1977353,81812,363209,791286,509459,325307
9,499,610,648,516,744,732,79,230,612,715,636,195,268,155,295,137,615,549,388,184,309,335,201,467,335,566,300,312,310,131,406,371,190,117,283,0,335,94,187,365,207,67,111,592,24,108,236,152,96
10,205589,251209,266812,212757,306435,301664,32585,95059,252397,294451,261993,80608,110805,63921,121500,56728,253787,226084,159842,75770,127469,138244,82973,192284,138207,233151,123832,128766,127542,54224,167199,152835,78619,48307,116806,263,138526,38746,77204,150396,85804,27716,45860,244129,9911,44911,97510,62657,39962
11,664530,811803,862068,687716,990138,974607,105280,307709,815587,951054,846286,260471,358058,207017,393194,183668,819529,730368,516997,245734,412642,447187,268654,621722,447112,753526,400770,416468,412576,175945,540369,494046,253683,156393,377619,1114,447411,125448,249628,486155,276877,90625,148626,788448,32403,144784,315294,203199,129554
12,9607005,11735058,12462456,9940867,14314590,14090470,1524910,4448230,11791114,13751921,12236841,3767950,5178346,2994500,5682657,2658830,11851482,10561522,7473909,3551935,5971541,6466325,3884341,8988715,6464713,10893904,5794246,6020211,5964458,2543859,7812636,7143708,3666508,2262355,5461761,19449,6467268,1814961,3609859,7028603,4004946,1309822,2151383,11399602,468003,2097956,4561944,2937471,1874524
13,2124744,2595579,2756063,2198826,3165777,3116025,337146,984083,2608104,3040657,2705710,832918,1144876,662066,1257200,587397,2619931,2335038,1653175,786111,1320479,1430077,859238,1988037,1429879,2409346,1281408,1331440,1319246,562674,1727213,1579118,810845,500349,1207578,4356,1430577,401483,798141,1554087,885707,290224,475249,2520562,103411,463287,1008686,649352,414156
14,357316,436417,463603,369650,532391,523987,59331,165347,438691,512842,456201,142768,192950,111082,211231,98570,440798,392744,277926,131922,223564,240942,144823,334267,240662,405241,215403,223702,221593,94420,290709,265659,136169,84098,203026,1274,240570,67331,134643,261269,149644,48586,80424,423952,17788,78085,170456,109154,69488
15,4777139,5835102,6195671,4943275,7116825,7004735,758543,2212854,5863304,6835226,6082562,1872504,2573809,1488741,2827017,1320896,5888697,5248605,3717357,1768335,2968393,3215680,1932668,4469963,3215467,5416679,2881598,2993719,2966403,1265977,3883224,3549915,1822392,1124751,2714392,9980,3215190,902848,1794048,3493836,1990423,653994,1069609,5665714,232783,1040717,2267562,1460412,931251
16,16147334,19724894,20947916,16708890,24061133,23684668,2565072,7475738,19819353,23117112,20570102,6336447,8703619,5031600,9550407,4467484,19920883,17751778,12561784,5968671,10036528,10868908,6528429,15108243,10865706,18311197,9738104,10117712,10023842,4273828,13131142,12007170,6162057,3802148,9180313,31645,10870466,3049409,6066762,11812866,6731452,2199383,3614500,19160667,785776,3525437,7667231,4935839,3148998
17,1112,1358,1443,1150,1658,1632,176,514,1365,1592,1417,436,602,348,657,307,1374,1222,864,410,692,748,448,1040,748,1261,670,697,696,294,904,826,426,267,633,1,748,211,417,814,462,150,250,1330,52,240,526,345,216
18,82126,100318,106521,84967,122353,120420,13103,38039,100813,117565,104601,32287,44248,25602,48605,22714,101272,90268,63870,30351,51032,55272,33201,76812,55241,93108,49498,51475,51003,21748,66790,61029,31376,19343,46688,149,55299,15518,30844,60075,34254,11201,18362,97430,4035,17923,38973,25103,16043
19,1659,2027,2153,1717,2474,2435,262,766,2037,2376,2115,650,892,514,980,456,2047,1824,1290,611,1028,1116,670,1552,1116,1882,1000,1038,1029,436,1348,1232,630,388,942,0,1116,310,621,1213,689,223,369,1969,78,359,786,504,320
20,243419,297375,315844,251916,362756,357083,38662,112695,298804,348530,310129,95554,131190,75832,143962,67294,300326,267624,189355,89935,151158,163812,98403,227744,163775,276055,146760,152506,151090,64373,197942,180948,92904,57323,138358,441,163892,45941,91393,178075,101448,33079,54416,288911,11830,53101,115538,74369,47439
21,5668873,6924085,7352487,5865551,8445247,8312333,899612,2625658,6957418,8111257,7218077,2221767,3054806,1767097,3354370,1568455,6988609,6229129,4411146,2097926,3522017,3815847,2293500,5304436,3815693,6427781,3419489,3553037,3519840,1502641,4608853,4213330,2163428,1335436,3221360,12136,3815361,1071494,2129389,4146596,2362524,775753,1270484,6723514,277406,1236379,2691338,1733558,1105886
22,1659,2027,2153,1717,2474,2435,262,766,2037,2376,2115,650,892,514,980,456,2047,1824,1290,611,1028,1116,670,1552,1116,1882,1000,1038,1029,436,1348,1232,630,388,942,0,1116,310,621,1213,689,223,369,1969,78,359,786,504,320
23,230924,282166,299597,239027,344166,338775,36709,106919,283459,330596,294210,90625,124519,71964,136619,63906,284799,253835,179826,85536,143408,155518,93482,216249,155583,261995,139390,144799,143377,61222,187779,171647,88113,54406,131253,461,155505,43683,86776,168977,96205,31636,51736,274003,11275,50344,109592,70584,44967
24,183692,224419,238291,190084,273703,269406,29085,85069,225490,262882,233908,71942,98994,57241,108695,50778,226568,201911,142893,67897,114113,123604,74243,171837,123570,208286,110750,115129,114062,48631,149357,136559,70178,43266,104414,333,123722,34714,69025,134379,76623,25034,41067,217978,8971,40077,87170,56134,35842
25,171,209,222,177,255,251,27,79,210,245,218,67,92,53,101,47,211,188,133,63,106,115,69,160,115,194,103,107,106,45,139,127,65,40,97,0,115,32,64,125,71,23,38,203,8,37,81,52,33
26,57675,70481,74837,59698,85971,84624,9203,26691,70815,82604,73507,22671,31095,17941,34104,15940,71138,63391,44904,21344,35865,38848,23337,54005,38850,65441,34806,36135,35791,15260,46889,42872,21980,13569,32773,122,38836,10890,21665,42187,24051,7875,12922,68426,2779,12579,27403,17613,11209
27,2308988,2820613,2995457,2389419,3440405,3386438,366558,1069065,2834105,3304944,2940914,905686,1244179,719092,1365864,638034,2847420,2537610,1796315,853631,1434046,1553906,933667,2160264,1553702,2618291,1392249,1446870,1433398,611157,1877443,1716159,881217,543441,1312016,4141,1554209,435711,867043,1688914,962167,314651,516647,2739589,112466,503175,1095978,705494,449785
28,74546,91075,96727,77148,111091,109359,11801,34493,91508,106717,94961,29212,40142,23172,44069,20547,91924,81915,57984,27537,46272,50161,30129,69739,50147,84536,44939,46684,46248,19685,60605,55405,28402,17505,42337,93,50162,14028,27961,54512,31016,10115,16632,88446,3581,16214,35365,22746,14470
29,1196229,1461357,1552135,1237998,1782593,1754721,189996,553696,1468389,1712699,1524000,469480,644521,372281,707465,330186,1475571,1314856,930418,441871,742693,805001,483528,1119042,804721,1356512,721111,749328,742411,316221,972699,889337,456516,281453,679652,1836,805208,225461,449020,874947,498320,162436,267275,1419648,58060,260543,567615,365386,232849
30,176756,215909,229325,182866,263366,259245,27957,81764,216956,253007,225118,69245,95157,54938,104478,48722,217960,194216,137420,65222,109654,118887,71377,165291,118837,200392,106474,110693,109658,46671,143715,131369,67406,41476,100380,179,118921,33232,66282,129226,73552,23936,39424,209700,8512,38444,83790,53924,34332
31,1009330,1233022,1309531,1044501,1504021,1480474,160277,467224,1238953,1444965,1285772,396004,543827,314194,596939,278717,1244957,1109385,785115,372908,626715,679224,407999,944250,679047,1144559,608469,632330,626478,266930,820712,750261,385215,237513,573524,1661,679444,190357,378922,738261,420517,137226,225602,1197798,49063,219889,478942,308302,196518
32,851141,1039809,1104287,880853,1268356,1248481,135066,394041,1044766,1218407,1084236,333822,458723,264983,503413,235136,1049655,935473,662376,314768,528821,572945,344273,796567,572944,965342,513404,533267,528337,225291,692011,632655,324603,200352,483633,1603,572905,160631,319619,622597,354583,116095,190509,1009966,41371,185373,404018,260055,165651
33,45225,55259,58696,46806,67409,66362,7168,20919,55519,64765,57631,17736,24374,14047,26724,12466,55787,49707,35193,16701,28101,30437,18284,42327,30437,51302,27272,28319,28055,11940,36767,33616,17231,10625,25690,64,30440,8514,16979,33076,18834,6134,10100,53680,2168,9824,21451,13790,8763
34,1088557,1329876,1412351,1126535,1622189,1596814,172695,503848,1336229,1558541,1386772,427066,586556,338778,643769,300555,1342755,1196517,846754,402157,675920,732614,439957,1018422,732352,1234466,656311,681950,675603,287810,885131,809384,415408,256131,618548,1691,732792,205237,408661,796200,453584,147947,243228,1291796,52866,237170,516552,332468,211913
35,2933988,3584190,3806362,3036286,4371764,4303183,466462,1358551,3601386,4199951,3737351,1151566,1580965,913926,1735763,810787,3618525,3224735,2282439,1084512,1822302,1974638,1186425,2744871,1974167,3327028,1769067,1838425,1821432,776508,2385783,2180886,1119967,690877,1667329,5502,1975111,553810,1101840,2146188,1222821,399666,656432,3481356,143116,639736,1392891,896743,571840
36,5628678,6876246,7302874,5825094,8387541,8256250,894159,2605638,6909143,8058538,7170666,2209146,3032896,1752253,3329099,1554477,6942711,6186739,4378419,2079765,3495117,3788036,2275467,5265866,3786965,6382936,3393547,3526372,3493619,1488688,4576954,4184453,2148176,1324594,3198300,9513,3788967,1061508,2113239,4117136,2345348,765352,1258268,6679458,273722,1226741,2671398,1719506,1096074
37,1166687,1425289,1513786,1207440,1738544,1711356,185452,540076,1432105,1670430,1486391,458075,628657,363178,689977,322169,1439141,1282407,907504,431033,724332,785147,471656,1091451,784930,1323032,703353,730920,724123,308512,948731,867367,445346,274552,662919,1935,785404,220013,438044,853427,486134,158552,260746,1384591,56759,254309,553676,356390,227171
38,2004355,2448633,2600599,2074371,2986772,2940030,318723,927907,2460343,2869690,2553562,786970,1080031,624011,1185470,553567,2472326,2203109,1559155,740627,1244586,1348911,810376,1875150,1348574,2272971,1208413,1255771,1244075,530141,1629894,1490030,765088,471808,1138908,3512,1349293,378061,752603,1466162,835229,272526,448109,2378644,97532,436975,951381,612357,390340
39,1593668,1946925,2067792,1649314,2374832,2337675,253287,737733,1956277,2281751,2030365,625670,858680,496063,942478,440022,1965761,1751685,1239671,588801,989546,1072525,644291,1490930,1072229,1807249,960746,998357,989118,421423,1295885,1184704,608223,375006,905512,2656,1072795,300506,598330,1165698,664016,216615,356220,1891258,77408,347271,756341,486792,310231
40,1450509,1772006,1882056,1501158,2161499,2127695,230486,671435,1780496,2076797,1847994,569375,781527,451502,857816,400543,1789238,1594371,1128264,535872,900575,976111,586378,1356980,975864,1644894,874425,908689,900249,383537,1179499,1078264,553600,341333,824236,2405,976450,273484,544548,1060989,604320,197062,324185,1721398,70452,316153,688405,443095,282381
41,189710,231787,246150,196342,282742,278324,29962,87815,232882,271577,241648,74289,102193,59063,112204,52422,234046,208556,147583,70098,117787,127647,76637,177512,127623,215161,114384,118839,117745,50150,154233,141034,72378,44661,107862,259,127747,35788,71208,138758,79011,25770,42325,225129,9154,41353,89964,57933,36936
42,787908,962567,1022317,815393,1174159,1155810,125017,364658,967168,1128082,1003787,309140,424456,245175,465923,217475,971889,866027,612846,291035,489128,530212,318446,737111,530047,893502,474974,493554,488968,208243,640642,585745,300592,185307,447682,1117,530346,148474,295703,576281,328124,106976,175950,935001,38149,171561,373737,240611,153288
43,12526,15306,16240,12953,18660,18369,1974,5799,15384,17919,15938,4900,6738,3892,7403,3442,15429,13751,9737,4626,7780,8438,5058,11711,8419,14195,7548,7847,7770,3304,10169,9328,4765,2937,7102,11,8418,2356,4695,9153,5211,1709,2786,14844,600,2714,5933,3820,2432
44,293382,358399,380664,303617,437188,430355,46681,135791,360126,420087,373805,115246,158064,91300,173494,80973,361887,322473,228189,108373,182142,197435,118598,274457,197374,332692,176846,183778,182073,77550,238560,218079,111947,69020,166682,458,197468,55287,110107,214580,122197,39834,65551,348175,14256,63885,139190,89602,57097
45,3816716,4662529,4951221,3949832,5687129,5597887,606542,1767309,4684867,5463614,4861776,1497515,2057438,1189035,2258105,1055415,4707379,4195114,2969815,1411558,2372910,2569341,1543714,3571446,2568837,4328346,2302205,2391649,2369579,1010636,3103479,2837493,1456753,898953,2169485,8165,2569801,721196,1434356,2792089,1592020,521001,854933,4528605,186393,832855,1812945,1166661,744131
46,2162162,2641631,2805348,2237686,3222217,3171796,342689,1000681,2654190,3095376,2754454,847755,1164917,672888,1278712,597057,2666936,2376568,1682108,798973,1342166,1454997,874001,2023076,1454828,2452134,1303565,1354553,1341958,571730,1757959,1606958,825219,508469,1228577,3313,1455796,407883,811732,1581518,900828,293954,483061,2565858,104687,470978,1025672,660150,420590
47,2249347,2747840,2918536,2327820,3351928,3299519,357320,1041085,2761084,3220536,2865706,882991,1211814,700007,1330243,620901,2774634,2472456,1749464,830844,1396567,1513590,909131,2104205,1513133,2550701,1355821,1409020,1396033,594579,1829042,1671998,858371,529022,1278091,3335,1514053,423907,844193,1645194,936907,305373,502500,2669438,109191,489844,1067113,686976,437842
48,2480,3030,3219,2566,3698,3642,392,1146,3045,3554,3161,972,1334,770,1464,682,3060,2726,1928,914,1540,1668,1000,2320,1668,2813,1494,1552,1539,652,2016,1842,943,580,1407,0,1668,464,928,1812,1030,334,551,2944,116,536,1174,754,478
49,4001852,4888884,5192586,4141574,5963528,5870321,636174,1852269,4912379,5729899,5098652,1571338,2156121,1245402,2366574,1104603,4936515,4398830,3112575,1478138,2484475,2692982,1617624,3743648,2692162,4538102,2412215,2506906,2483651,1057811,3254157,2974823,1527232,941403,2273746,6129,2693786,754243,1502094,2927084,1667125,543286,893988,4749480,194343,871696,1898764,1222127,778898
50,2658604,3247853,3449309,2751302,3961588,3899521,422880,1230927,3263425,3806075,3386924,1043768,1432795,827914,1572496,734506,3278992,2922096,2068466,982808,1651246,1789466,1075273,2487537,1789183,3014988,1603102,1665863,1650348,703609,2161795,1976141,1014612,625865,1510669,4949,1789652,501743,998428,1944741,1107876,362153,594879,3154921,129515,579371,1262103,812197,517796
51,114842,140280,148962,118833,171095,168410,18252,53182,140955,164355,146252,45055,61880,35760,67931,31732,141577,126174,89357,42488,71319,77312,46458,107453,77295,130220,69266,71965,71292,30412,93367,85379,43807,27027,65232,210,77276,21671,43119,83994,47831,15691,25719,136210,5592,25010,54519,35099,22367
52,192905,235632,250252,199579,287387,282877,30761,89278,236759,276123,245731,75822,103890,60030,114047,53240,237793,211915,150061,71292,119773,129825,78046,180456,129815,218718,116286,120850,119712,51021,156830,143328,73547,45321,109532,345,129768,36355,72395,141069,80291,26281,43162,228808,9354,41969,91537,58916,37496
53,955411,1167197,1239659,988769,1423751,1401472,151788,442224,1172800,1367876,1217194,374986,514740,297359,565031,263730,1178483,1050142,743166,352956,593240,642932,386217,893812,642774,1083455,575943,598505,592981,252586,776876,710150,364557,224742,542845,1495,643087,180102,358620,698822,397963,129796,213514,1133848,46331,208062,453362,291806,185938
54,2192850,2678791,2844963,2269085,3267521,3216369,347622,1015127,2691690,3138919,2793101,859659,1181559,682683,1296877,605691,2704694,2410183,1705757,810212,1361806,1475724,886419,2051492,1475283,2486569,1322032,1373826,1361079,580042,1783031,1630189,836837,516050,1246115,3697,1476096,413678,823311,1603897,913713,298310,490225,2602034,106612,477848,1040586,669848,427055
55,3017308,3686028,3914761,3122527,4496163,4425804,478881,1396734,3703731,4319508,3843643,1183650,1625701,939211,1784520,833184,3721609,3316372,2347067,1114894,1873655,2030497,1219730,2822800,2029983,3421576,1819018,1890306,1872782,797954,2453407,2242882,1151485,709891,1714517,4943,2031089,569012,1132753,2206965,1257122,410283,674516,3580519,146624,657319,1431880,921609,587454
56,3312055,4046205,4296930,3427824,4935585,4858300,524835,1533492,4065287,4741097,4218929,1298414,1785120,1031583,1959271,915747,4085202,3640571,2577425,1225006,2057536,2229378,1339390,3099681,2229317,3756393,1997963,2075395,2056194,876896,2693071,2462237,1263851,780023,1882622,6101,2229776,625539,1243941,2422997,1380157,451779,741144,3930004,161076,721950,1571949,1012346,645310
57,1981947,2421318,2571405,2050983,2953406,2907146,314434,917400,2432909,2837284,2524687,777269,1067991,616990,1172132,547288,2444493,2178376,1541862,732391,1231243,1333955,801276,1854348,1333596,2247592,1195025,1241720,1230129,524190,1611483,1473466,756196,466426,1126183,3489,1334138,373831,744300,1449690,825899,269735,443317,2351819,96335,431757,940802,605514,385792
58,2502773,3057558,3246952,2590098,3729510,3671139,396492,1158697,3072057,3582537,3187833,980964,1348598,779452,1480397,691757,3087033,2750995,1947297,925328,1554653,1684378,1011805,2341924,1684189,2838324,1509358,1568271,1553695,662356,2034931,1860395,954979,589121,1422576,4410,1684989,472507,939943,1830806,1042763,341046,559711,2969833,121498,545415,1187755,764660,487467
59,1466852,1791963,1903102,1518028,2185783,2151581,232331,679083,1800441,2099664,1868364,574952,790437,456842,867699,405403,1809326,1612349,1141136,542115,910829,987101,592957,1372407,986917,1663412,884530,919078,910557,388105,1192795,1090562,559880,345325,833721,2515,987458,276855,550777,1073046,611226,199675,328005,1740555,71449,319787,696073,448293,285851
60,1442025,1761603,1870952,1492326,2148844,2115211,228790,667502,1770062,2064535,1837055,565580,776992,448909,852882,398288,1778721,1585058,1121725,532813,895513,970384,582922,1349106,970175,1635264,869377,903384,895037,381378,1172560,1071890,550342,339349,819433,2423,970758,271972,541398,1054771,600888,196046,322422,1711275,70032,314281,684379,440527,280828
61,1339479,1636086,1737537,1386213,1995669,1964402,211958,620297,1643655,1916916,1705714,524794,721882,417451,792766,370614,1652020,1472324,1042051,495401,831771,901217,541443,1253245,901185,1518789,807920,839604,831841,354917,1089409,995928,511685,315484,761467,2320,901808,252906,503091,980069,558247,182726,299969,1589243,65760,292145,635698,409820,261559
62,1031858,1260462,1338654,1067898,1537556,1513486,163226,477757,1266396,1476934,1314203,404216,556092,321391,610536,285248,1272877,1134308,802695,381418,640981,694309,416998,965385,694158,1170083,622282,646492,640641,273075,839139,767251,393942,242935,586636,1686,694721,194734,387578,754873,430095,140471,230705,1224434,50327,224939,489656,315496,201269
63,1688040,2062184,2190197,1746818,2515440,2476086,267326,781304,2071975,2416466,2150282,661475,909609,525516,998311,466231,2082158,1855488,1313115,623602,1048226,1135871,682338,1579275,1135670,1914234,1017711,1057597,1047727,446460,1372669,1254845,644215,397220,959216,2777,1136360,318328,633780,1234803,703304,229471,377438,2003213,82032,367827,801102,515669,328672
