cassette,Site,Lineage,Rep,None,IN_Clear,IN_dark_septate,IN_dark_aseptate,OUT_clear,OUT_dark_septate,OUT_dark_aseptate,sum,IN_Clear,IN_dark_septate,IN_dark_aseptate,OUT_clear,OUT_dark_septate,OUT_dark_aseptate,None_per,percol
1,Rt2,Inv,1,75,7,0,6,7,0,5,100,0.07,0,0.06,0.07,0,0.05,0.75,0.25
2,Rt2,Nat,1,79,0,0,0,4,0,0,83,0,0,0,0.048192771,0,0,0.951807229,0.048192771
3,CB,Inv,1AG,68,0,1,5,22,1,3,100,0,0.01,0.05,0.22,0.01,0.03,0.68,0.32
4,CB,Inv,1,70,2,1,3,21,1,8,100,0.02,0.01,0.03,0.21,0.01,0.08,0.7,0.36
5,CM,Nat,1,67,1,0,5,13,1,2,89,0.011235955,0,0.056179775,0.146067416,0.011235955,0.02247191,0.752808989,0.247191011
6,CM,Nat,3,76,0,1,1,8,0,2,88,0,0.011363636,0.011363636,0.090909091,0,0.022727273,0.863636364,0.136363636
8,CM,Inv,3,77,2,0,0,7,0,2,88,0.022727273,0,0,0.079545455,0,0.022727273,0.875,0.125
9,CB,Nat,3,56,1,1,2,17,2,7,86,0.011627907,0.011627907,0.023255814,0.197674419,0.023255814,0.081395349,0.651162791,0.348837209
10,Rt2,Nat,3,76,0,0,0,5,0,3,84,0,0,0,0.05952381,0,0.035714286,0.904761905,0.095238095
11,Rt2,Nat,2,61,0,6,7,6,0,0,80,0,0.075,0.0875,0.075,0,0,0.7625,0.2375
12,CM,Inv,1,72,3,0,4,10,0,11,100,0.03,0,0.04,0.1,0,0.11,0.72,0.28
13,CM,Inv,1AG,77,0,0,0,17,0,6,100,0,0,0,0.17,0,0.06,0.77,0.23
14,CR,Inv,1,55,2,6,18,5,0,1,87,0.022988506,0.068965517,0.206896552,0.057471264,0,0.011494253,0.632183908,0.367816092
15,CM,Inv,2,93,0,2,0,4,0,1,100,0,0.02,0,0.04,0,0.01,0.93,0.07
16,CB,Nat,2,75,1,0,1,11,0,7,95,0.010526316,0,0.010526316,0.115789474,0,0.073684211,0.789473684,0.210526316
17,CB,Inv,3,87,0,0,0,12,0,1,100,0,0,0,0.12,0,0.01,0.87,0.13
18,CR,Inv,2,65,2,7,12,12,0,2,100,0.02,0.07,0.12,0.12,0,0.02,0.65,0.35
19,CB,Inv,2,74,1,0,1,15,4,5,100,0.01,0,0.01,0.15,0.04,0.05,0.74,0.26
20,CR,Nat,3,58,1,1,4,11,0,6,81,0.012345679,0.012345679,0.049382716,0.135802469,0,0.074074074,0.716049383,0.283950617
21,Rt2,Inv,2AG,79,1,1,1,12,0,1,95,0.010526316,0.010526316,0.010526316,0.126315789,0,0.010526316,0.831578947,0.168421053
22,Rt2,Inv,2,78,2,0,0,10,0,0,90,0.022222222,0,0,0.111111111,0,0,0.866666667,0.133333333
23,CB,Nat,1,75,0,0,1,8,0,5,89,0,0,0.011235955,0.08988764,0,0.056179775,0.842696629,0.157303371
24,Rt2,Inv,3,73,0,0,0,8,0,6,87,0,0,0,0.091954023,0,0.068965517,0.83908046,0.16091954
25,CR,Inv,3,85,0,0,0,11,1,0,100,0,0,0,0.11,0.01,0,0.85,0.12
26,CR,Nat,1,71,0,0,3,6,0,7,87,0,0,0.034482759,0.068965517,0,0.08045977,0.816091954,0.183908046
27,CR,Nat,2,80,0,0,4,3,0,10,97,0,0,0.041237113,0.030927835,0,0.103092784,0.824742268,0.175257732
28,CM,Nat,2,84,1,0,0,5,0,11,101,0.00990099,0,0,0.04950495,0,0.108910891,0.831683168,0.168316832
29,CH,Nat,2,57,0,0,1,32,0,10,100,0,0,0.01,0.32,0,0.1,0.57,0.43
30,CH,Nat,3,43,0,3,0,25,0,21,92,0,0.032608696,0,0.27173913,0,0.22826087,0.467391304,0.532608696
31,CH,Nat,1,64,1,0,1,21,0,7,94,0.010638298,0,0.010638298,0.223404255,0,0.074468085,0.680851064,0.319148936
32,CH,Inv,1,36,2,0,7,37,0,15,97,0.020618557,0,0.072164948,0.381443299,0,0.154639175,0.371134021,0.628865979
33,BC,Nat,3,39,2,0,5,30,0,19,95,0.021052632,0,0.052631579,0.315789474,0,0.2,0.410526316,0.589473684
34,BC,Nat,2,77,2,0,1,16,0,4,100,0.02,0,0.01,0.16,0,0.04,0.77,0.23
35,BC,Nat,1,70,1,1,5,14,1,8,100,0.01,0.01,0.05,0.14,0.01,0.08,0.7,0.3
36,BC,Inv,1,50,1,0,3,31,0,8,93,0.010752688,0,0.032258065,0.333333333,0,0.086021505,0.537634409,0.462365591
37,BC,Inv,2,40,2,0,2,45,0,11,100,0.02,0,0.02,0.45,0,0.11,0.4,0.6
38,BC,Inv,3,42,6,0,6,33,1,12,100,0.06,0,0.06,0.33,0.01,0.12,0.42,0.58
39,JC,Nat,1,21,3,0,1,30,0,45,100,0.03,0,0.01,0.3,0,0.45,0.21,0.79
40,JC,Nat,2,73,4,0,3,7,0,4,91,0.043956044,0,0.032967033,0.076923077,0,0.043956044,0.802197802,0.197802198
41,JC,Nat,3,82,6,0,0,9,1,2,100,0.06,0,0,0.09,0.01,0.02,0.82,0.18
42,CH,Nat,1,59,3,2,11,14,1,10,100,0.03,0.02,0.11,0.14,0.01,0.1,0.59,0.41
43,CH,Inv,2,57,0,0,2,30,0,11,100,0,0,0.02,0.3,0,0.11,0.57,0.43
,,,,,,,,,,,,,,,,,,,
