Code,SampleID,Site,Lineage,Rep,DSE,per_DSE,yes,no,per_col
1,CMInv3,CM,Inv,3,0,0,13,87,0.13
2,Rt2Inv3,Rt2,Inv,3,0,0,14,86,0.14
3,Rt2Nat3,Rt2,Nat,3,0,0,6,94,0.06
4,CBNat3,CB,Nat,3,0,0,4,96,0.04
5,Rt2Nat2,Rt2,Nat,2,0,0,6,94,0.06
6,CMNat1,CM,Nat,1,0,0,5,95,0.05
7,CBInv3,CB,Inv,3,2,0.2857,7,93,0.07
8,CRInv2,CR,Inv,2,0,0,14,86,0.14
9,Rt2Inv1,Rt2,Inv,1,0,0,5,95,0.05
10,CRInv1,CR,Inv,1,2,0.125,16,84,0.16
11,CMInv1,CM,Inv,1,0,0,9,91,0.09
12,CRInv3,CR,Inv,3,0,0,6,94,0.06
13,PLBInv1,PLB,Inv,1,0,0,2,89,0.022
14,Rt2Nat1,Rt2,Nat,1,0,0,2,98,0.02
15,CBNat1,CB,Nat,1,0,0,0,100,0
16,Rt2Inv2,Rt2,Inv,2,0,0,13,87,0.13
17,SBNat1,SB,Nat,1,0,0,9,91,0.09
18,CBInv2,CB,Inv,2,0,0,14,86,0.14
19,CBInv1,CB,Inv,1,0,0,6,94,0.06
20,CBNat2,CB,Nat,2,0,0,1,99,0.01
21,CRNat2,CR,Nat,2,0,0,3,97,0.03
22,PLBNat1,PLB,Nat,1,0,0,1,99,0.01
23,CMNat2,CM,Nat,2,1,0.25,4,96,0.04
24,CRNat1,CR,Nat,1,0,0,7,92,0.0707
25,CRNat3,CR,Nat,3,1,0.0667,15,68,0.1807
26,SBInv1,SB,Inv,1,0,0,14,86,0.14
27,CMNat3,CM,Nat,3,0,0,1,99,0.01
28,CMInv2,CM,Inv,2,0,0,5,95,0.05
29,BLInv1,BL,Inv,1,2,0.0392,51,49,0.51
30,BLInv2,BL,Inv,2,5,0.1429,35,65,0.35
31,BLInv3,BL,Inv,3,1,0.0833,12,88,0.12
32,BLInv4,BL,Inv,4,1,0.0303,33,67,0.33
33,BLInv5,BL,Inv,5,3,0.0789,38,62,0.38
34,BLInv6,BL,Inv,6,1,0.0244,41,59,0.41
35,BLNat1,BL,Nat,1,0,0,2,48,0.04
36,BLNat2,BL,Nat,2,1,0.0714,14,86,0.14
37,BLNat3,BL,Nat,3,1,0.0714,14,86,0.14
38,BLNat4,BL,Nat,4,0,0,8,92,0.08
39,BLNat5,BL,Nat,5,0,0,4,89,0.043
40,BLNat6,BL,Nat,6,6,0.2069,29,71,0.29
41,CHInv1,CH,Inv,1,0,0,28,72,0.28
42,CHInv2,CH,Inv,2,2,0.0625,32,68,0.32
43,CHInv3,CH,Inv,3,0,0,12,67,0.1519
44,CHInv4,CH,Inv,4,1,0.0455,22,78,0.22
45,CHInv5,CH,Inv,5,0,0,14,86,0.14
46,CHInv6,CH,Inv,6,1,0.0357,28,72,0.28
47,CHNat1,CH,Nat,1,1,0.1667,6,94,0.06
48,CHNat2,CH,Nat,2,1,0.3333,3,72,0.04
49,CHNat3,CH,Nat,3,0,0,4,96,0.04
50,CHNat4,CH,Nat,4,2,0.25,8,92,0.08
51,CHNat5,CH,Nat,5,0,0,4,93,0.0412
52,CHNat6,CH,Nat,6,4,0.2222,18,82,0.18
